Kanji,Kana,English,Romaji
続く,つづく,Continue,tsuzuku
時間,じかん,Time,jikan
の,の,Of,no
欠片,かけら,Fragment,kakera
を,を,Particle (object marker),wo
集めて,あつめて,Gathering,atsumete
いる,いる,Are,iru
ただ,ただ,Just,tada
過ぎる,すぎる,Passes,sugiru
ノート,ノート,Notebook,nooto
の,の,Of,no
余白,よはく,Margin,yohaku
に,に,In,ni
書く,かく,Write,kaku
「答え,こたえ,Answer,kotae
は,は,Is,wa
いつ？」,いつ？,When?,itsu?
ほんのり,ほんのり,Slightly,honnori
小さな,ちいさな,Small,chiisana
感情,かんじょう,Emotion,kanjou
へ,へ,To,he
愛,あい,Love,ai
を,を,Particle (object marker),wo
ひとつ,ひとつ,One,hitotsu
またね,またね,See you again,matane
またね,またね,See you again,matane
夜,よる,Night,yoru
に,に,In,ni
咲く,さく,Bloom,saku
温度,おんど,Temperature,ondo
と,と,And,to
灯る,ともる,Light up,tomoru
まで,まで,Until,made
呼吸,こきゅう,Breath,kokyuu
ひとつ,ひとつ,One,hitotsu
生きる,いきる,Live,ikiru
生きる,いきる,Live,ikiru
優しい,やさしい,Gentle,yasashii
日々,ひび,Days,hibi
の,の,Of,no
横,よこ,Beside,yoko
で,で,At,de
泣かぬ,なかぬ,Not cry,nakanu
ように,ように,So that,youni
嗚呼,ああ,Ah,aa
泣かぬ,なかぬ,Not cry,nakanu
ように,ように,So that,youni
ちっちゃな,ちっちゃな,Tiny,chicchana
言葉,ことば,Words,kotoba
チクチク,チクチク,Prickling,chikuchiku
した,した,Did,shita
の,の,Particle,no
キリが,きりが,Endless,kiriga
無い,ない,None,nai
けどさ,けどさ,though,kedosa
それ,それ,That,sore
を,を,Particle (object marker),wo
忘れた,わすれた,Forgot,wasureta
フリ,ふり,Pretending,furi
疲れた,つかれた,Tired,tsukareta
よ,よ,Exclamation,yo
夜,よる,Night,yoru
よ,よ,Exclamation,yo
抱きしめて,だきしめて,Hug,dakishimete
今日,きょう,Today,kyou
だって,だって,Because,datte
笑う,わらう,Laugh,warau
笑う,わらう,Laugh,warau
泣いちゃう,ないちゃう,Cry,naichau
僕,ぼく,I,boku
を,を,Particle (object marker),wo
隠す,かくす,Hide,kakusu
ために,ために,For the sake of,tameni
笑う,わらう,Laugh,warau
言えない,いえない,Can't say,ienai
ことは,ことは,Things are,koto wa
言えない,いえない,Can't say,ienai
で,で,At,de
良い,いい,Good,ii
って,って,That’s,tte
思えたら,おもえたら,If I could think,omoetara
軽く,かるく,Lightly,karuku
なれる,なれる,Become,nareru
の,の,Of,no
かな,かな,I wonder,kana
愛,あい,Love,ai
を,を,Particle (object marker),wo
ひとつ,ひとつ,One,hitotsu
またね,またね,See you again,matane
またね,またね,See you again,matane
夜,よる,Night,yoru
に,に,In,ni
咲く,さく,Bloom,saku
温度,おんど,Temperature,ondo
と,と,And,to
灯る,ともる,Light up,tomoru
まで,まで,Until,made
呼吸,こきゅう,Breath,kokyuu
ひとつ,ひとつ,One,hitotsu
生きる,いきる,Live,ikiru
生きる,いきる,Live,ikiru
優しい,やさしい,Gentle,yasashii
日々,ひび,Days,hibi
の,の,Of,no
横,よこ,Beside,yoko
で,で,At,de
泣かぬ,なかぬ,Not cry,nakanu
ように,ように,So that,youni
嗚呼,ああ,Ah,aa
愛,あい,Love,ai
を,を,Particle (object marker),wo
ひとつ,ひとつ,One,hitotsu
またね,またね,See you again,matane
またね,またね,See you again,matane
優しい,やさしい,Gentle,yasashii
日々,ひび,Days,hibi
の,の,Of,no
横,よこ,Beside,yoko
で,で,At,de
笑う,わらう,Laugh,warau
ように,ように,So that,youni
嗚呼,ああ,Ah,aa
吐き出す,はきだす,Spit out,hakidasu
気持ち,きもち,Feelings,kimochi
は,は,Are,wa
簡単,かんたん,Simple,kantan
で,で,At,de
でも,でも,But,demo
生きる,いきる,Live,ikiru
の,の,Of,no
難易度,なんいど,Difficulty,nan'ido
高すぎて,たかすぎて,Too high,takasugite
どうにも,どうにも,Anyway,dounimo
解けない,とけない,Can't solve,tokenai
問い,とい,Question,toi
だらけ,だらけ,Filled with,darake
嗚呼,ああ,Ah,aa
さっぱり,さっぱり,Completely,sappari
きっかり,きっかり,Exactly,kikkari
前向いて,まえむいて,Face forward,maemuite
なんて,なんて,Such as,nante
しなくて,しなくて,Don't have to,shinakute
良い,いい,Good,ii
から,から,Because,kara
抱きしめて,だきしめて,Hug,dakishimete
愛,あい,Love,ai
を,を,Particle (object marker),wo
ひとつ,ひとつ,One,hitotsu
またね,またね,See you again,matane
またね,またね,See you again,matane